ID,Sex,Age,ParticipantLTR,PartnerNumber,HadSex,AgeSex,Orientation,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,SDQ1,SDQ2,SDQ3,SDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
319,1,30,1,5,1,14,2,10,1,12,3,2,3,3,6,4,5,5,5,6,3,5,1,1,1,7,6,5,3,2,4,4,3,4,2,3,2,2,4,5,8,5,3,2,2,2,5,4,2,5,5,5,5,4,6,4,3,2,7,7,1,6,2,2,2,4,3,6,3,1
320,1,66,1,5,1,17,2,4,1,1,4,2,3,3,4,3,4,5,5,5,5,2,1,2,2,6,7,6,2,3,4,4,7,6,2,2,2,2,3,3,8,8,7,7,2,4,5,3,3,5,5,5,6,6,6,5,7,4,6,7,6,2,6,6,6,5,5,5,5,2
321,1,46,1,7,1,15,2,35,1,12,3,2,2,2,3,2,5,3,5,5,5,6,1,3,2,5,6,6,2,2,1,3,4,2,3,7,2,2,4,9,8,7,8,8,4,8,5,4,3,5,5,7,5,3,5,2,6,1,4,5,3,2,5,2,2,3,3,4,1,1
322,1,30,1,5,1,18,2,10,1,10,4,3,3,3,3,3,6,3,3,3,3,2,4,2,3,3,4,4,2,2,3,3,4,3,2,2,2,2,2,6,8,8,8,4,2,3,5,4,4,4,5,4,6,6,6,4,6,5,4,6,5,3,6,5,5,6,5,5,5,4
323,2,44,1,6,1,16,1,6,1,15,3,4,3,3,4,3,3,4,5,6,4,2,6,4,6,7,7,7,3,3,4,3,6,4,2,2,2,2,3,3,8,5,7,3,2,2,5,4,3,5,5,4,6,6,5,7,7,3,4,6,6,2,7,6,6,6,6,6,5,4
324,1,34,1,1,1,27,2,1,1,5,4,5,4,5,6,4,5,6,4,4,5,4,3,5,6,4,2,6,4,5,2,5,4,5,3,2,3,2,2,1,8,7,3,7,5,6,5,4,3,5,5,3,3,5,5,4,5,4,3,5,4,5,4,5,5,4,2,5,4,5
325,2,46,1,5,1,16,1,5,1,20,4,6,5,6,2,5,7,2,2,2,4,7,7, ,6,1,1,1,5,6,5,6,2,5,7,5,6,2,2,1,8,3,8,7,6,4,5,1,3,5,5,6,5,6,7,6,5,1,7,7,7,2,5,5,6,4,5,4,4,1
326,1,27,1,3,1,16,2,7,6,8,5,1,1,2,2,2,2,7,6,4,2,2,1,1,2,7,7,7,1,1,1,1,6,1,2,2,2,2,1,3,9,9,9,4,3,5,5,4,1,5,5,6,6,7,7,1,7,1,4,7,7,1,7,7,7,6,6,6,4,4
327,2,32,1,6,1,19,1,6,1,1,3,1,7,6,6,6,4,7,7,7,7,6,1,1,2,7,6,6,2,2,6,4,7,5,4,5,3,2,5,5,9,5,9,6,3,5,5,4,4,5,5,5,5,3,5,5,2,5,7,6,7,3,3,3,4,5,3,3,5,4
328,1,37,1,6,1,17,2,8,1,1,4,2,4,2,6,6,6,2,2,3,5,2,1,1,1,7,7,7,3,1,7,7,7,4,4,6,6,2,3,6,9,1,1,1,1,1,5,5,5,4,5,7,7,7,7,7,4,4,7,7,7,7,7,7,7,7,7,7,3,1
329,2,33,1,5,1,14,1,3,1,4,3,2,2,2,3,2,2,4,3,5,5,6,2,2,2,6,6,4,2,2,2,4,5,2,2,2,4,2,2,1,9,7,4,4,2,1,5,4,4,4,5,6,5,7,7,7,7,1,4,7,7,7,6,6,7,7,3,6,3,4
330,2,26,1,8,1,15,1,30,1,4,2,2,6,6,6,6,6,3,4,3,3,5,4,2,2,4,5,3,1,1,7,3,6,3,2,5,2,2,6,7,9,7,8,5,2,4,5,2,2,4,5,5,3,3,5,6,7,1,4,7,7,2,6,7,3,5,3,5,2,4
331,1,32,1,5,1,21,2,4,1,4,2,3,4,5,6,4,6,6,4,5,5,6,2,1,1,6,6,7,1,1,6,4,5,3,2,6,2,2,1,2,9,9,9,7,4,3,5,4,4,4,5,5,6,5,6,7,2,7,7,6,5,1,5,5,5,5,5,5,3,1
