Participant,Sex,Age,Ethnicity,DATE,Sexual_orientation,Lifetime_sex_partners,Casual_sex_partners,Intrasexual_Competition_1,Intrasexual_Competition_2,Intrasexual_Competition_3,Intrasexual_Competition_4,Intrasexual_Competition_5,Intrasexual_Competition_6,Intrasexual_Competition_7,Intrasexual_Competition_8,Intrasexual_Competition_9,Intrasexual_Competition_10,Intrasexual_Competition_11,Intrasexual_Competition_12,INTRASEXUAL_COMPETITION_MEAN
235,0,18,6,0,0,2,1,4,2,1,1,3,2,4,1,5,2,7,1,2.75
167,0,17,0,0,1,2,1,2,1,3,4,1,1,1,1,3,4,2,1,2
2,1,25,0,0,0,8,6,1,1,2,1,1,1,2,2,1,3,2,3,1.66666666666667
187,1,23,0,1,0,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
43,1,20,0,0,0,2,1,3,4,3,5,3,1,3,4,5,5,5,4,3.75
189,1,19,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1.08333333333333
263,1,19,0,0,0,1,1,1,2,2,2,1,2,2,1,3,3,2,1,1.83333333333333
282,1,19,0,0,0,1,1,2,6,6,6,2,2,2,2,4,3,3,1,3.25
293,1,20,0,1,0,1,0,2,1,2,4,1,4,2,4,7,6,4,1,3.16666666666667
54,1,19,0,0,1,12,9,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,25,0,0,0,1,0,1,1,2,4,1,1,1,1,1,5,4,1,1.91666666666667
85,1,23,0,1,0,4,1,2,2,3,4,2,1,1,1,5,2,2,1,2.16666666666667
205,1,23,0,1,0,8,5, , , , , , , , , , , , , 
288,1,23,0,1,0,25,18,3,4,1,5,1,1,1,1,6,4,2,2,2.58333333333333
18,1,22,0,1,0,3,1,5,5,2,2,1,1,1,1,1,4,5,3,2.58333333333333
175,1,22,0,1,0,3,0,5,5,4,3,1,1,2,1,5,5,5,2,3.25
40,1,21,0,1,0,16,9,2,2,3,5,3,2,3,3,5,4,4,2,3.16666666666667
95,1,21,0,1,0,2,1,5,3,5,4,2,2,2,2,5,6,4,3,3.58333333333333
122,1,21,0,1,0,10,2,1,1,1,1,1,1,1,3,1,2,2,1,1.33333333333333
150,1,21,0,1,0,7,1,4,4,4,5,1,1,2,1,2,4,3,4,2.91666666666667
242,1,20,0,1,0,20,10,7,6,7,5,7,4,5,6,5,5,5,6,5.66666666666667
267,1,19, ,0,0,3,1,2,5,1,6,1,1,1,1,7,7,3,1,3
271,1,19,0,1,0,1,0,4,5,4,5,3,5,5,3,5,6,5,5,4.58333333333333
278,1,19,6,1,2,2,0,2,2,2,3,2,2,2,2,2,2,2,2,2.08333333333333
286,1,19,0,0,0,4,3,1,3,2,3,1,1,3,1,4,4,2,1,2.16666666666667
290,1,19,7,1,0,1,1,7,7,6,6,5,3,3,4,6,6,4,6,5.25
162,1,18,0,1,2,0,0,2,3,2,3,7,2,2,2,7,2,2,2,3
268,1,18,0,1,0,3,1,3,3,3,3,1,2,2,2,2,3,2,2,2.33333333333333
269,1,18,0,0,0,0,0,1,1,1,2,1,1,2,1,2,3,2,1,1.5
276,1,18,0,1,0,2,0,1,2,2,4,1,2,2,2,1,2,2,2,1.91666666666667
279,1,18,0,0,0,0,0,4,4,4,4,2,2,3,2,4,3,1,1,2.83333333333333
281,1,18,0,1,0,1,0,2,2,2,2,1,2,3,2,2,1,1,1,1.75
289,1,18,0,0,2,0,0,5,7,4,6,1,1,2,1,5,6,5,2,3.75
296,1,18,4,0,0,0,0,5,4,4,4,3,2,2,2,3,4,2,1,3
23,1,17, ,1,0,3,1,1,3,2,4,1,1,1,1,2,2,1,1,1.66666666666667
214,1,19,0,1,0,12,12,5,5,4,4,2,3,3,3,5,6,4,4,4
301,1,29,0,1,0,7,2,3,3,2,3,1,1,2,1,4,2,2,2,2.16666666666667
5,1,22,0,1,0,8,5,1,1,1,2,1,1,1,1,1,1,1,1,1.08333333333333
42,1,22,6,1,0,8,2,1,1,2,2,1,1,1,1,1,2,1,1,1.25
285,1,22,0,0,0,3,2,2,3,1,5,1,1,1,2,4,2,1,1,2
3,1,21,0,1,0,19,17,4,4,7,6,3,1,1,2,5,6,4,2,3.75
30,1,21,0,1,0,1,0,3,6,2,3,1,1,1,1,4,4,4,1,2.58333333333333
72,1,21,0,0,0,9,5,1,1,1,1,1,1,1,1,1,1,1,1,1
97,1,21,0,0,0,5,3,2,3,3,4,3,3,4,1,4,5,4,2,3.16666666666667
254,1,21,0,1,0,2,0,2,5,2,4,1,1,1,1,1,5,4,4,2.58333333333333
82,1,20,0,1,0,3,1,3,4,6,6,1,1,6,1,5,7,4,1,3.75
96,1,20,0,1,0,7,6,4,5,3,5,2,1,2,2,6,5,3,2,3.33333333333333
183,1,20,0,1,0,1,0,3,3,3,3,3,2,4,4,5,3,3,2,3.16666666666667
191,1,20,0,0,0,5,3,2,2,3,3,1,1,2,1,1,2,1,1,1.66666666666667
194,1,20,0,1,0,4,1,4,3,4,2,2,2,4,5,5,4,4,4,3.58333333333333
195,1,20,0,0,0,13,10,1,1,2,2,1,1,1,1,5,2,2,2,1.75
196,1,20,0,1,0,4,2,2,2,3,3,2,2,2,2,3,4,3,3,2.58333333333333
274,1,20,0,0,0,0, ,4,4,3,4,2,2,2,1,2,3,2,1,2.5
294,1,20,6,0,0,1,1,6,6,5,6,4,3,3,3,4,5,4,5,4.5
120,1,19,0,1,0,1,0,3,3,2,4,1,2,1,1,2,4,2,1,2.16666666666667
210,1,19,0,0,0,14,7,1,1,4,2,1,1,1,1,2,3,1,6,2
237,1,19,2,1,0,1,0,7,5,7,4,6,7,5,6,3,7,7,4,5.66666666666667
280,1,19,0,1,2,6,2,4,3,3,5,2,2,2,1,5,5,5,3,3.33333333333333
287,1,19,7,12,0,8,5,5,5,4,5,1,1,4,1,5,6,5,5,3.91666666666667
292,1,19,0,0,0,0,0,2,3,3,4,1,1,1,2,3,4,4,1,2.41666666666667
303,1,19,0,1,0,7,1,2,4,5,3,1,1,1,1,3,3,3,3,2.5
44,1,18,0,0,0,0,0,1,1,1,2,1,1,1,1,2,1,1,1,1.16666666666667
56,1,18,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1.16666666666667
