Participant,Sex,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
248,1,3,2,1,3,1,1,1,1,1,1,1,2
249,1,1,2,1,7,1,2,1,1,7,7,2,1
250,1,4,3,3,2,3,3,3,3,4,5,5,3
251,1,5,5,4,4,3,2,3,3,5,4,2,2
252,0,1,2,1,7,1,1,1,1,7,4,5,4
253,1,7,6,2,7,4,1,1,1,7,7,5,1
254,1,2,5,2,4,1,1,1,1,1,5,4,4
255,1,2,2,2,3,2,1,2,1,4,5,5,3
256,0,2,4,1,3,1,1,1,1,5,4,4,3
256,0,1,1,2,3,2,5,4,1,6,3,3,4
257,0,2,2,4,5,2,1,4,2,2,5,5,1
258,0,3,4,5,5,2,2,2,2,6,5,4,3
259,0,2,2,2,3,1,1,1,1,3,2,2,1
260,0,1,2,1,5,1,1,2,1,5,6,7,1
261,0,1,3,1,6,1,1,2,1,2,5,4,2
262,0,4,6,4,5,2,2,4,2,6,6,6,3
263,1,1,2,2,2,1,2,2,1,3,3,2,1
264,1,1,2,2,3,1,1,1,1,2,2,2,1
265,1,3,3,1,3,1,1,1,1,3,3,2,1
267,1,2,5,1,6,1,1,1,1,7,7,3,1
268,1,3,3,3,3,1,2,2,2,2,3,2,2
269,1,1,1,1,2,1,1,2,1,2,3,2,1
270,1,2,2,2,2,2,2,3,2,3,2,2,3
271,1,4,5,4,5,3,5,5,3,5,6,5,5
272,1,4,5,4,5,2,2,2,2,3,3,2,2
273,1,1,1,1,1,1,1,1,1,1,1,1,1
274,1,4,4,3,4,2,2,2,1,2,3,2,1
275,1,1,1,1,2,1,1,1,1,3,2,1,1
276,1,1,2,2,4,1,2,2,2,1,2,2,2
277,1,4,4,4,4,2,2,3,2,3,4,2,2
278,1,2,2,2,3,2,2,2,2,2,2,2,2
279,1,4,4,4,4,2,2,3,2,4,3,1,1
280,1,4,3,3,5,2,2,2,1,5,5,5,3
281,1,2,2,2,2,1,2,3,2,2,1,1,1
282,1,2,6,6,6,2,2,2,2,4,3,3,1
283,1,5,2,3,3,3,1,1,3,2,6,3,3
284,1,5,2,1,1,1,1,1,1,6,5,4,1
285,1,2,3,1,5,1,1,1,2,4,2,1,1
286,1,1,3,2,3,1,1,3,1,4,4,2,1
287,1,5,5,4,5,1,1,4,1,5,6,5,5
288,1,3,4,1,5,1,1,1,1,6,4,2,2
289,1,5,7,4,6,1,1,2,1,5,6,5,2
290,1,7,7,6,6,5,3,3,4,6,6,4,6
291,1,2,2,1,3,1,1,1,1,1,1,1,1
292,1,2,3,3,4,1,1,1,2,3,4,4,1
293,1,2,1,2,4,1,4,2,4,7,6,4,1
294,1,6,6,5,6,4,3,3,3,4,5,4,5
295,1,4,4,4,4,3,2,2,2,4,4,4,3
296,1,5,4,4,4,3,2,2,2,3,4,2,1
297,1,3,5,2,5,2,2,2,6,6,3,2,2
298,1,2,3,2,3,1,1,1,1,3,2,1,1
299,1,4,4,5,5,3,2,3,1,3,5,3,4
300,1,2,2,3,2,1,1,1,1,4,4,3,2
301,1,3,3,2,3,1,1,2,1,4,2,2,2
302,1,1,1,1,1,1,1,1,1,2,2,1,1
303,1,2,4,5,3,1,1,1,1,3,3,3,3
