Participant_ID,Participant_Sex,Participant_Age,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
232,2,27,1,1,1,3,1,1,1,1,1,1,1,1
233,2,34,2,2,2,3,1,1,2,1,4,5,2,2
234,2,25,3,2,2,5,1,1,2,1,1,1,1,2
235,2,29,5,6,5,5,4,3,5,2,6,5,4,5
237,2,28,3,5,4,4,2,2,2,2,5,5,3,2
238,2,25,6,7,6,6,5,6,6,5,6,7,6,5
239,2,60,2,2,3,2,1,3,3,1,2,2,2,1
240,2,39,1,1,1,1,1,1,1,1,1,1,1,1
242,2,29,1,1,2,3,1,1,1,1,4,4,3,2
243,2,45,2,2,2,6,2,2,2,2,6,6,6,2
244,2,30,4,2,3,2,2,1,1,1,1,1,1,1
245,2,31,3,2,5,2,4,2,2,1,1,1,2,1
246,2,37,2,5,2,6,1,1,1,1,7,4,4,2
247,2,45,1,1,1,4,1,1,1,1,1,2,1,1
248,2,33,1,1,1,1,1,1,1,1,6,6,1,1
250,2,47,1,1,1,1,1,1,1,1,1,1,1,1
251,2,50,2,2,1,2,2,2,2,2,5,4,2,2
252,2,47,2,3,5,5,2,1,1,1,6,2,1,1
253,2,36,2,2,2,5,2,2,2,2,4,4,2,2
254,2,57,2,2,1,7,1,4,5,1,1,6,1,1
255,2,29,3,6,2,6,2,3,2,2,6,6,2,1
256,2,25,3,6,5,6,4,1,2,1,7,5,5,4
258,2,32,1,2,2,1,1,1,2,1,1,1,1,1
259,2,36,1,1,2,1,1,1,1,1,3,5,3,1
260,2,41,2,4,2,4,2,2,2,1,4,4,2,1
261,2,33,2,3,4,5,1,3,2,1,2,4,4,2
262,2,26,2,2,2,2,2,2,1,1,3,3,3,2
264,2,34,7,6,6,6,6,5,7,6,6,6,7,7
265,2,33,4,4,4,4,4,4,4,4,4,4,4,4
266,2,56,1,1,1,1,1,1,1,6,1,1,1,1
267,2,34,1,1,1,6,1,1,1,1,7,6,1,1
268,2,55,2,2,2,1,4,2,1,1,1,2,2,2
269,2,24,2,3,3,4,4,3,4,4,4,3,4,1
270,2,30,6,7,6,7,6,6,6,6,6,6,5,6
271,2,32,2,2,2,4,2,2,2,2,5,5,2,2
273,2,42,6,5,1,6,2,2,1,1,2,6,1,2
274,2,43,4,1,1,4,1,1,1,1,7,7,7,1
276,2,35,1,1,1,1,1,1,1,1,1,1,1,1
277,2,24,2,4,3,2,3,3,3,2,3,4,4,3
278,2,45,1,1,1,4,1,1,1,7,1,1,1,1
280,2,30,3,3,2,3,3,2,2,2,3,2,3,2
281,2,32,1,2,4,2,1,1,2,1,5,3,2,4
282,2,34,1,1,4,5,1,1,1,1,5,2,1,1
283,2,35,1,1,1,2,1,1,1,1,1,1,1,1
284,2,40,2,1,3,2,2,1,1,1,2,1,1,2
285,2,25,2,1,1,5,1,1,1,1,4,1,1,1
286,2,38,5,5,5,6,3,3,3,3,5,5,5,4
287,2,35,1,3,1,4,1,1,1,1,5,5,1,1
289,2,44,4,5,4,3,4,5,5,6,5,4,3,5
290,2,39,1,1,1,1,1,1,1,1,1,1,1,1
291,2,47,5,2,6,5,7,1,1,1,6,5,5,1
292,2,38,5,4,4,4,4,4,5,4,4,5,5,5
293,2,36,2,2,1,2,1,1,1,1,5,2,1,1
295,2,44,2,2,2,3,1,1,2,1,6,3,3,1
296,2,34,4,4,3,4,3,2,4,2,4,4,4,2
297,2,38,1,1,1,1,1,1,1,1,1,1,1,1
298,2,44,1,1,1,1,1,1,1,1,1,1,1,1
299,2,44,1,1,1,1,1,1,1,1,1,1,1,1
300,2,28,2,2,2,2,2,2,2,2,2,2,2,2
301,2,56,1,1,1,2,2,1,1,1,1,1,1,1
302,2,66,1,6,1,6,4,1,1,1,6,6,1,1
303,2,62,1,4,5,6,1,1,1,1,5,5,4,1
304,2,33,4,4,4,4,4,4,4,4,4,4,4,4
305,2,31,5,4,2,5,5,4,3,5,5,6,4,3
307,1,30,2,2,3,5,2,5,5,3,6,6,2,1
308,1,30,2,2,4,5,2,2,3,2,6,6,6,2
309,1,35,6,4,6,2,7,5,3,4,2,6,5,2
312,1,34,1,1,1,5,1,1,1,1,1,1,1,1
316,1,39,3,5,2,6,2,2,2,1,5,6,5,2
318,1,25,1,1,1,1,1,1,1,1,1,1,1,1
321,1,30,2,1,2,2,1,1,4,4,3,3,2,4
322,1,32,1,1,1,4,1,1,1,1,1,1,1,1
323,1,33,3,2,3,6,2,2,2,2,5,2,2,2
324,1,32,2,4,2,4,1,1,2,6,6,4,3,2
326,1,45,2,2,1,2,2,2,1,6,5,5,1,1
328,1,31,5,4,6,5,4,4,5,5,3,5,3,3
329,1,43,1,3,1,4,1,1,1,1,4,5,5,1
331,1,39,1,1,1,3,1,1,1,1,3,1,1,1
334,1,50,2,2,2,4,2,2,4,2,5,4,3,4
335,1,30,2,2,2,2,2,2,2,2,2,3,3,3
336,1,34,6,5,5,4,6,5,5,4,5,6,3,4
337,1,37,7,4,5,5,5,6,5,4,5,5,4,5
338,1,26,6,2,2,3,2,4,6,2,2,3,4,1
339,1,47,3,3,3,5,2,5,5,2,6,6,3,5
340,1,66,1,1,1,3,1,1,1,1,3,4,2,1
341,1,25,5,4,3,5,4,4,3,5,3,5,5,4
342,1,29,1,1,1,6,1,1,1,1,6,7,7,1
343,1,62,1,1,1,5,1,5,2,1,1,1,1,1
345,1,27,3,5,4,3,5,3,3,5,3,3,5,3
346,1,53,1,1,1,3,1,1,1,1,4,1,1,1
347,1,32,5,4,4,3,4,3,5,4,5,2,2,5
349,1,32,6,5,3,4,5,5,6,5,5,6,5,4
350,1,26,4,5,2,6,2,4,3,2,5,5,6,2
353,1,34,1,1,1,1,1,1,1,1,4,3,1,1
354,1,26,1,1,1,1,1,1,1,1,1,1,1,1
357,1,27,2,2,2,5,1,2,3,2,5,5,5,2
358,1,43,1,2,2,3,2,1,1,1,7,6,1,2
359,1,42,3,4,2,5,4,5,5,3,4,4,3,3
360,1,44,5,6,5,4,6,6,3,4,5,6,5,4
361,1,39,3,2,4,5,3,4,3,4,6,5,6,2
362,1,71,1,4,1,6,2,6,2,6,6,6,7,6
363,1,24,5,2,5,2,5,3,4,3,6,2,3,6
364,1,29,5,6,6,3,5,4,3,5,4,4,6,5
365,1,32,2,2,3,5,2,6,2,5,4,6,6,3
366,1,34,5,7,5,7,1,4,4,5,6,7,7,4
368,1,32,3,4,4,4,5,5,5,5,4,5,5,5
371,1,30,3,4,3,4,3,4,2,3,4,5,4,4
373,1,45,1,4,2,7,1,1,1,1,4,4,5,2
374,1,29,1,1,1,4,1,1,1,1,4,4,3,1
375,1,49,3,4,2,5,4,2,5,3,6,6,2,4
378,1,29,1,1,1,5,1,1,1,1,4,4,4,1
380,1,31,1,1,1,1,1,1,1,1,1,1,1,1
381,1,31,1,1,1,1,1,1,1,1,1,1,1,1
382,1,43,6,4,5,3,3,6,6,6,3,4,4,6
385,1,27,1,1,1,1,1,1,1,1,6,6,5,1
387,1,57,2,3,2,4,3,2,2,2,4,4,4,3
388,1,21,1,2,1,1,1,1,1,1,6,2,4,4
389,1,29,1,1,1,1,1,1,1,1,5,1,1,1
390,1,38,5,5,3,4,4,3,2,3,2,1,4,1
391,1,32,1,1,1,1,1,1,1,1,1,1,1,1
392,1,30,2,2,2,6,3,3,2,3,6,5,2,3
393,1,40,2,4,5,5,2,2,2,2,5,4,4,2
394,1,62,1,1,1,1,1,1,1,1,1,1,1,1
395,1,33,1,2,2,3,3,2,2,2,4,5,2,1
396,1,42,1,1,1,1,1,1,1,1,1,1,1,1
397,1,25,4,5,3,5,4,6,6,5,4,4,4,5
398,1,36,1,1,2,3,1,4,1,1,5,4,4,1
399,1,35,1,1,1,4,1,1,1,1,7,4,4,1
400,1,33,1,1,1,7,1,1,1,1,7,7,7,1
