ID,DATA_SET,SEX,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
324,2,1,3,3,4,2,4,5,4,2,5,6,2,4
325,2,1,3,5,7,7,7,1,7,3,7,4,2,3
326,2,1,2,1,1,3,1,1,1,1,7,1,1,1
327,2,1,2,1,3,2,1,1,2,1,2,2,1,1
328,2,0,1,1,1,4,1,2,2,1,1,2,2,2
329,2,0,3,3,2,5,2,2,2,1,3,2,1,2
330,2,0,1,1,1,3,1,1,1,1,6,4,3,1
331,2,0,1,4,1,5,1,1,1,1,3,5,5,3
332,2,1,5,5,2,2,1,1,1,1,1,4,5,3
333,2,0,2,2,2,2,2,2,3,2,3,3,3,3
334,2,1,2,3,2,2,1,1,1,1,2,5,2,1
335,2,0,1,1,1,6,1,1,1,1,1,1,1,1
336,2,1,3,2,4,2,2,3,4,4,3,2,1,2
337,2,1,1,3,2,4,1,1,1,1,2,2,1,1
338,2,1,4,4,2,3,3,4,3,3,2,5,2,5
339,2,1,1,1,2,4,1,1,1,1,1,5,4,1
340,2,0,1,2,1,3,1,1,1,1,4,7,7,1
341,2,0,2,4,2,5,2,2,1,1,5,5,3,2
342,2,1,2,2,2,4,2,1,3,1,5,4,5,2
343,2,1,3,5,3,6,3,1,2,4,7,6,5,2
344,2,1,3,6,2,3,1,1,1,1,4,4,4,1
345,2,1,1,1,4,1,1,1,2,1,1,5,5,1
346,2,0,1,1,1,2,1,1,1,1,2,2,2,1
347,2,0,1,1,1,4,1,2,1,1,4,3,3,1
348,2,1,2,1,2,1,1,1,1,1,1,4,1,1
349,2,1,1,2,2,5,2,1,1,1,4,3,5,4
350,2,0,2,2,1,4,1,1,1,1,4,3,5,1
351,2,0,4,4,4,4,2,3,5,3,6,7,6,4
352,2,1,1,1,1,1,1,1,1,1,1,1,1,1
353,2,1,1,1,1,1,1,1,1,1,1,1,1,1
354,2,1,2,2,3,5,3,2,3,3,5,4,4,2
355,2,1,5,3,6,5,2,2,5,1,6,6,3,2
356,2,1,1,1,2,2,1,1,1,1,1,2,1,1
357,2,1,3,4,3,5,3,1,3,4,5,5,5,4
358,2,1,1,1,1,2,1,1,1,1,2,1,1,1
359,2,0,4,4,1,5,1,1,1,1,2,5,6,5
360,2,0,4,4,3,4,3,3,3,3,2,5,5,4
361,2,0,1,2,2,6,1,2,4,1,5,6,4,2
362,2,0,1,2,1,5,1,1,1,1,1,5,2,2
363,2,1,5,4,6,6,4,5,6,5,6,6,7,4
364,2,1,4,4,4,5,3,2,2,1,5,5,5,5
365,2,1,3,2,3,5,2,3,2,2,6,3,4,2
366,2,0,1,1,2,2,1,1,1,1,2, , , 
367,2,1,1,1,1,1,1,1,1,1,1,1,1,1
368,2,0,1,1,1,1,1,1,1,1,1,1,1,1
369,2,1,1,1,1,1,1,1,1,1,2,2,1,1
370,2,0,2,1,5,7,1,5,6,2,7,7,7,4
371,2,0,1,3,2,2,1,1,2,1,3,4,2,1
372,2,0,3,2,2,2,1,2,1,1,1,1,1,1
373,2,0,5,7,4,5,3,6,6,3,4,6,4,3
374,2,0,1,2,1,4,1,1,1,1,6,3,1,1
375,2,0,1,1,1,5,1,3,6,1,5,3,1,3
376,2,1,1,3,1,2,1,1,1,1,6,3,1,1
377,2,0,2,2,2,3,3,3,2,2,2,3,2,2
378,2,0,2,5,2,4,2,4,3,1,4,5,5,3
379,2,0,3,5,1,7,1,1,1,1,5,3,3,1
380,2,1,2,1,2,2,2,1,1,1,4,4,2,3
381,2,1,2,2,1,3,1,2,1,1,2,4,2,1
382,2,0,4,5,6,5,3,3,4,4,6,5,4,2
383,2,0,1,4,4,5,1,1,3,1,6,2,7,5
384,2,0,4,5,5,5,3,3,5,3,5,5,5,5
385,2,1,1,1,1,1,1,1,1,1,1,1,1,1
386,2,0,2,5,4,6,5,5,5,3,7,6,6,6
387,2,1,2,2,1,3,1,2,2,2,4,3,2,4
388,2,1,1,1,1,1,1,1,1,1,2,1,1,1
389,2,1,5,5,7,7,2,2,5,1,7,7,7,7
390,2,1,1,1,1,1,1,1,1,1,1,1,1,1
391,2,0,3,3,4,5,2,2,2,2,5,4,4,3
392,2,1,2,4,1,5,1,1,1,1,3,4,2,2
393,2,0,1,1,1,3,1,1,2,1,3,1,1,1
394,2,1,3,4,6,6,1,1,6,1,5,7,4,1
395,2,1,1,4,5,5,1,1,4,1,4,3,1,3
396,2,1,3,6,4,5,2,2,3,2,5,5,3,3
397,2,1,2,2,3,4,2,1,1,1,5,2,2,1
398,2,1,1,2,1,4,1,1,1,1,4,5,2,1
399,2,1,2,3,2,3,1,1,1,1,5,4,2,1
400,2,1,2,2,1,2,1,1,1,1,2,1,1,1
401,2,1,2,1,3,2,1,1,1,1,2,5,3,1
402,2,0,5,3,5,6,1,1,2,1,5,6,5,4
403,2,0,4,2,5,6,1,2,3,1,7,5,2,2
404,2,1,2,2,3,2,2,2,2,1,4,4,3,3
405,2,0,3,4,3,5,1,1,1,1,6,4,2,2
406,2,0,2,2,2,5,1,1,2,1,6,4,4,2
407,2,1,5,3,5,4,2,2,2,2,5,6,4,3
408,2,1,4,5,3,5,2,1,2,2,6,5,3,2
409,2,1,2,3,3,4,3,3,4,1,4,5,4,2
410,2,1,2,2,2,3,2,2,2,2,3,4,4,3
411,2,1,4,3,4,3,2,2,3,1,3,3,2,2
412,2,1,4,4,4,5,1,1,2,1,2,3,3,2
413,2,1,1,1,1,1,1,1,1,1,1,1,1,1
414,2,1,2,2,2,2,1,1,2,1,1,2,1,1
415,2,1,1,2,1,2,1,1,1,1,4,4,3,1
416,2,1,2,2,2,2,2,1,1,1,2,2,2,2
417,2,0,1,1,1,4,1,1,1,1,3,3,1,1
418,2,1,4,1,2,3,4,2,2,2,2,2,2,2
419,2,1,6,5,4,6,2,2,2,1,5,6,6,1
420,2,1,3,3,1,1,1,1,1,1,1,1,1,2
421,2,1,4,4,3,5,3,2,1,2,2,3,3,2
422,2,1,1,2,3,2,1,1,1,1,6,4,1,1
423,2,1,2,4,3,4,1,1,2,1,4,3,2,2
424,2,1,4,2,2,6,1,1,2,1,4,6,6,4
425,2,1,1,1,1,3,1,2,1,1,4,5,5,1
426,2,1,1,1,1,5,1,1,1,1,1,3,1,1
427,2,0,1,1,1,1,1,1,1,1,3,1,1,1
428,2,1,2,3,5,7,2,2,2,2,2,7,2,2
429,2,1,5,5,6,6,3,4,6,3,4,5,3,4
430,2,1,3,3,6,3,1,1,3,1,5,3,3,1
431,2,1,3,3,2,4,1,2,1,1,2,4,2,1
432,2,1,2,4,1,2,2,1,2,1,1,4,3,3
433,2,1,1,1,1,1,1,1,1,3,1,2,2,1
434,2,1,1,1,2,3,1,1,1,1,1,5,2,1
435,2,1,2,3,1,1,1,1,1,1,1,2,1,1
436,2,0,1,1,1,1,1,1,1,1,1,4,3,1
